ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
01A,"Afognak Lake, AK",A43,"Kodiak Island, AK"
06A,"Kizhuyak, AK",A43,"Kodiak Island, AK"
06A,"Kizhuyak, AK",A43,"Kodiak Island, AK"
1CA,"Rio Vista, CA",HHR,"Hawthorne, CA"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
1G4,"Peach Springs, AZ",GCN,"Grand Canyon, AZ"
1NY,"Penn Yan, NY",ISP,"Islip, NY"
6B0,"Middlebury, VT",HTO,"East Hampton, NY"
6B0,"Middlebury, VT",HPN,"White Plains, NY"
7AK,"Akun, AK",DUT,"Unalaska, AK"
7AK,"Akun, AK",KQA,"Akutan, AK"
7AK,"Akun, AK",DUT,"Unalaska, AK"
7AK,"Akun, AK",AKN,"King Salmon, AK"
7AK,"Akun, AK",KQA,"Akutan, AK"
A01,"Fairbanks/Ft. Wainwright, AK",FAI,"Fairbanks, AK"
A01,"Fairbanks/Ft. Wainwright, AK",FAI,"Fairbanks, AK"
A01,"Fairbanks/Ft. Wainwright, AK",FAI,"Fairbanks, AK"
A04,"Red Lake, AK",A43,"Kodiak Island, AK"
A04,"Red Lake, AK",A43,"Kodiak Island, AK"
A17,"Port Vita, AK",DGB,"Danger Bay, AK"
A17,"Port Vita, AK",A43,"Kodiak Island, AK"
A1K,"Deadhorse1, AK",SCC,"Deadhorse, AK"
A20,"Alpine, AK",ANC,"Anchorage, AK"
A20,"Alpine, AK",SCC,"Deadhorse, AK"
A26,"Ivotuk, AK",FAI,"Fairbanks, AK"
A27,"Pogo Mines, AK",FAI,"Fairbanks, AK"
A29,"Kiluda Bay, AK",A43,"Kodiak Island, AK"
A30,"Terror Lake, AK",A43,"Kodiak Island, AK"
A30,"Terror Lake, AK",A43,"Kodiak Island, AK"
A43,"Kodiak Island, AK",ALZ,"Lazy Bay, AK"
A43,"Kodiak Island, AK",AOS,"Amook Bay, AK"
A43,"Kodiak Island, AK",KKB,"Kitoi Bay, AK"
A43,"Kodiak Island, AK",KPY,"Port Bailey, AK"
A43,"Kodiak Island, AK",ALZ,"Lazy Bay, AK"
